Run,Event,PID1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,PID2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,PID3,E3,px3,py3,pz3,pt3,eta3,phi3,Q3,PID4,E4,px4,py4,pz4,pt4,eta4,phi4,Q4,mZ1,mZ2,M
194076,340846024,11,41.8416,38.2903,-2.22056,-16.7225,38.3546,-0.423248,-0.0579279,-1,-11,35.1455,-31.0518,9.26605,13.6062,32.4049,0.40843,2.8516,1,-11,64.5332,-1.41944,-25.9844,59.0536,26.0231,1.55796,-1.62537,1,11,23.7936,-14.0577,19.1661,1.08521,23.7688,0.0456408,2.20363,-1,85.8411,20.3646,154.949
167675,876658967,-11,46.2967,-45.4721,-8.6101,-1.24072,46.2801,-0.0268058,-2.95446,1,11,45.8568,43.5367,14.3708,-0.940301,45.8472,-0.020508,0.318824,-1,-11,27.2561,-13.6734,-19.6597,13.0164,23.9472,0.519816,-2.1785,1,11,7.57191,-0.0913048,7.28083,-2.07727,7.2814,-0.281549,1.58334,-1,91.9271,27.3974,125.528
173243,16706390,11,352.097,-58.3284,-8.93069,347.117,59.0081,2.47228,-2.98966,-1,-11,124.22,55.8882,-7.34743,110.694,56.3691,1.4273,-0.130717,1,-11,169.383,23.0043,33.2087,164.495,40.3982,2.11199,0.964974,1,11,28.8255,7.33931,-25.1182,-12.0881,26.1685,-0.446908,-1.28652,-1,91.4178,92.9952,285.96
171106,141954801,11,49.6757,-8.9885,44.2435,-20.7218,45.1473,-0.444228,1.77123,-1,11,68.4708,41.2204,-0.639024,-54.6692,41.2253,-1.09427,-0.0155014,-1,-11,42.6373,-0.600474,-39.7627,15.3787,39.7673,0.377676,-1.5859,1,-11,36.5299,-36.4078,0.928434,-2.83553,36.4196,-0.0777787,3.1161,1,91.5484,87.7217,186.915
163758,113529826,-11,112.039,-19.2226,25.6749,107.35,32.0735,1.92281,2.21346,1,11,26.6863,6.94914,-23.0538,11.506,24.0784,0.461317,-1.27803,-1,-11,10.1663,2.352,-9.35977,-3.19643,9.65076,-0.325435,-1.32461,1,11,12.2376,3.98114,6.14426,9.80604,7.3213,1.10224,0.995867,-1,70.4304,20.1941,100.923
172952,842265702,-11,87.628,41.7576,11.5591,-76.1667,43.3279,-1.32982,0.270053,1,11,37.9247,-20.5105,24.6846,-20.2058,32.0938,-0.59403,2.2641,-1,-11,11.3639,-6.93362,6.40937,-6.32315,9.4422,-0.627642,2.39546,1,11,26.6822,-0.119199,-9.07494,-25.0912,9.07572,-1.74127,-1.58393,-1,68.6352,20.0945,95.4259
163659,344708580,11,61.6886,-50.3627,-15.4488,32.1002,52.6789,0.576831,-2.84395,-1,-11,44.3136,40.6614,-15.9374,7.50629,43.6732,0.171039,-0.37355,1,-11,26.7699,-0.250656,26.4523,4.10358,26.4535,0.154509,1.58027,1,11,18.1029,-13.5592,1.03685,11.9494,13.5988,0.792955,3.06527,-1,92.6746,28.4517,138.193
172799,10347106,11,215.87,-9.38901,113.027,183.675,113.417,1.25926,1.65367,-1,11,97.8731,9.27214,-95.3894,19.8505,95.839,0.20567,-1.4739,-1,-11,49.552,-39.9507,9.24934,27.817,41.0075,0.634832,2.91408,1,-11,51.3601,34.2592,-20.8718,-32.0709,40.1163,-0.732237,-0.54718,1,91.2903,81.9121,363.538
196453,1259337833,11,164.046,-17.8969,100.191,-128.657,101.777,-1.05638,1.74756,-1,-11,30.9987,-14.5764,22.462,15.6174,26.7771,0.554399,2.14642,1,13,96.8524,4.78262,-35.4308,-90.0121,35.7521,-1.65377,-1.43662,-1,-13,33.5624,28.4867,17.2839,4.02514,33.32,0.12051,0.545356,1,90.433,95.7409,235.352
198954,105011803,-11,123.242,-40.1523,22.2569,114.372,45.9084,1.644,2.63544,1,11,28.3328,-12.3626,-25.4831,-0.725097,28.3236,-0.0255977,-2.02248,-1,-13,49.6935,43.7286,-15.9497,-17.4024,46.5466,-0.365666,-0.349748,1,13,30.0204,-0.236213,19.3908,22.9162,19.3923,1.00422,1.58298,-1,85.3874,66.4866,198.024
202016,407076966,-11,492.281,58.0146,-64.5211,484.574,86.7679,2.4211,-0.838447,1,11,14.9524,2.75536,-14.0194,4.40885,14.2876,0.30388,-1.37673,-1,-13,127.535,-54.4985,100.216,57.0256,114.076,0.481115,2.06888,1,13,36.5013,-0.739393,-14.6431,33.4271,14.6618,1.56223,-1.62125,-1,91.2135,91.3914,338.789
194050,59331872,11,29.561,-19.6651,21.9321,2.47351,29.4573,0.0838708,2.30175,-1,-11,12.2845,-5.92602,5.55956,9.21313,8.12566,0.972914,2.38809,1,13,56.6742,-40.1619,32.1253,23.8106,51.4297,0.447852,2.46692,-1,-13,36.45,-17.7381,-31.8368,-0.610573,36.4448,-0.0167526,-2.07912,1,69.1476,14.2747,96.2145
195398,53211301,-11,74.2414,-70.0482,-0.368283,-24.5948,70.0491,-0.344268,-3.13634,1,11,111.095,-26.038,-51.6104,-94.8713,57.8067,-1.27061,-2.03805,-1,-13,112.753,14.7563,70.2179,-86.9769,71.7517,-1.02376,1.36366,1,13,54.1899,52.852,7.18352,-9.57051,53.338,-0.178482,0.13509,-1,90.2398,89.3686,275.648
194108,394007716,-11,81.8004,25.4106,68.5647,36.6672,73.1219,0.482511,1.21588,1,11,28.7354,7.99573,-11.8084,-24.947,14.2608,-1.32557,-0.97559,-1,13,85.9103,-62.5533,-23.898,53.8195,66.9629,0.735571,-2.77666,-1,-13,33.6828,30.6483,-12.9054,5.35285,33.2546,0.160279,-0.398548,1,91.8081,87.9973,218.021
195113,311362990,-11,218.469,-28.0978,-96.7928,193.831,100.789,1.40873,-1.85332,1,11,179.817,-34.8748,14.8548,175.777,37.9067,2.23866,2.73892,-1,-13,50.2785,15.8996,-18.0519,44.1502,24.0556,1.36748,-0.848707,1,13,35.9236,-16.0088,-0.378253,32.1569,16.0133,1.44727,-3.11797,-1,106.504,35.6136,147.771
195113,622426000,11,179.707,-56.5283,76.3471,152.546,94.9965,1.25206,2.20813,-1,-11,74.7221,-45.3529,57.3667,15.3484,73.1288,0.208371,2.23977,1,13,210.051,98.9892,-34.7561,-181.974,104.914,-1.31819,-0.337663,-1,-13,123.852,3.8234,-62.1296,-107.073,62.2472,-1.31098,-1.50933,1,91.0301,89.3634,574.543
195948,116169718,11,305.142,42.2337,-53.3517,297.458,68.0447,2.18109,-0.901192,-1,-11,58.9975,-18.9841,14.5788,53.9238,23.9361,1.5513,2.48671,1,13,68.8703,9.18489,62.6759,27.0272,63.3454,0.414677,1.42529,-1,-13,37.5409,-30.8885,-17.9097,11.5954,35.7051,0.3193,-2.61615,1,85.7705,84.1679,263.203
194314,243501633,11,126.519,-24.361,-87.9002,87.6765,91.2135,0.853687,-1.84115,-1,-11,50.8594,-18.7563,14.5578,44.9772,23.743,1.39536,2.48156,1,13,100.912,33.4148,66.7739,67.8821,74.668,0.81563,1.10682,-1,-13,20.4737,-6.56597,-15.7251,-11.3477,17.0409,-0.624518,-1.96634,1,90.6179,81.4119,229.579
194210,74688978,11,11.8295,3.58474,-11.2663,0.398418,11.8228,0.0336926,-1.26274,-1,-11,9.94577,8.75018,2.90699,-3.72854,9.22043,-0.394097,0.320748,1,-13,39.2998,35.4981,2.40515,-16.6902,35.5794,-0.453402,0.067651,1,13,37.5906,-32.4952,11.0167,-15.3536,34.3119,-0.433742,2.81473,-1,68.5285,15.5257,90.6792
195165,306811048,-11,162.613,-8.60362,45.6802,155.827,46.4834,1.92434,1.75696,1,11,14.5764,12.6266,-0.129733,-7.28171,12.6272,-0.548714,-0.0102742,-1,13,81.8326,1.19726,-48.858,65.6356,48.8726,1.1044,-1.5463,-1,-13,34.8841,13.0597,-10.8648,-30.4679,16.9883,-1.34726,-0.69391,1,92.8222,85.0829,228.243
194479,42464759,-11,12.219,2.79637,9.14877,-7.60155,9.56659,-0.728441,1.27416,1,11,38.4071,-8.91798,-0.803635,37.3488,8.95411,2.1354,-3.05172,-1,-13,68.6175,33.0916,11.652,-58.9706,35.0831,-1.29109,0.338556,1,13,34.1052,-29.5998,-15.4865,-6.86807,33.4063,-0.204171,-2.65956,-1,78.6786,39.6357,148.95
194533,677674570,-11,183.311,-144.204,88.2957,70.7957,169.088,0.407333,2.59218,1,11,94.1261,-55.7582,1.63544,75.816,55.7822,1.114,3.11227,-1,13,221.8,21.4801,-39.1765,217.254,44.6788,2.28512,-1.06927,-1,-13,36.2293,19.6354,0.343965,30.4447,19.6384,1.22233,0.0175158,1,86.0459,45.0144,321.56
195147,607057396,-11,128.099,63.8082,9.08692,-110.704,64.452,-1.30972,0.141459,1,11,41.7835,-29.2013,14.6669,-26.039,32.6777,-0.730202,2.67613,-1,-13,294.56,-55.9612,-14.0248,-288.855,57.6919,-2.31378,-2.89603,1,13,35.2088,20.4017,-10.6682,-26.6384,23.0226,-0.988187,-0.481805,-1,91.6495,85.6569,212.443
194789,377461820,11,17.7963,-8.04173,-11.203,-11.2487,13.7904,-0.744869,-2.19338,-1,-11,10.0905,-9.94263,-0.638944,1.5981,9.96314,0.159721,-3.07742,1,-13,311.146,24.3911,-90.3297,-296.745,93.5648,-1.87134,-1.30706,1,13,27.3647,21.6855,8.17073,-14.5531,23.1738,-0.592686,0.360333,-1,93.8615,14.8618,147.017
196334,252537006,11,128.605,95.5137,83.3155,-21.7934,126.745,-0.17111,0.717292,-1,-11,18.7854,-14.5555,-5.92555,-10.2917,15.7154,-0.61531,-2.75498,1,-13,264.715,-74.2866,-66.8166,245.135,99.9148,1.6298,-2.40908,1,13,20.3378,-7.94088,-18.4745,-3.04115,20.1088,-0.150664,-1.97675,-1,90.2834,92.7892,377.941
